시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a51110009,서동향토시장,전통시장,부산광역시 금정구 서동 194-1,부산광역시 금정구 서부로 21-1,부산,금정구,Y,,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N
a51110007,장성시장,전통시장,부산광역시 금정구 장전동155-17,부산광역시 금정구 수림로61번길 53,부산,금정구,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
a51110008,장전상가시장,전통시장,부산광역시 금정구 장전동421-7,부산광역시 금정구 부산대학로49번길 13,부산,금정구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N
a51130003,거제시장,전통시장,부산광역시 연제구 거제동 486-1,부산광역시 연제구 거제시장로14번길28,부산,연제구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a51130002,영남종합시장,전통시장,부산광역시 연제구 연산동 1364-2,부산광역시 연제구 중앙대로1031-1,부산,연제구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N
a51130005,연미새시장,전통시장,부산광역시 연제구 연산동 2122-26,부산광역시 연제구 배산로22번길3,부산,연제구,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N
a51130008,연일시장,전통시장,부산광역시 연제구 연산동 636-28,부산광역시 연제구 고분로 24,부산,연제구,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
a51140002,광안시장,전통시장,부산광역시 수영구 광안동559-2,부산광역시 수영구 수영로603번길 18,부산,수영구,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
a51140001,삼익비치B상가시장,전통시장,부산광역시 수영구 남천동 148-5,부산광역시 수영구 광안해변로 95,부산,수영구,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N
a51140005,남천해변시장,전통시장,부산광역시 수영구 남천동556,부산광역시 수영구 광안해변로15번길 77,부산,수영구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N
a51140013,삼익비치A상가시장,전통시장,부산광역시 수영구 남천동 148-9,부산광역시 수영구 광안해변로 95,부산,수영구,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N
a51140007,망미삼성상가시장,전통시장,부산광역시 수영구 망미동777,부산광역시 수영구 연수로3120번길 74,부산,수영구,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
a51140008,망미새상가시장,전통시장,부산광역시 수영구 망미동 831-13,부산광역시 수영구 연수로263번길 12-32,부산,수영구,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51140010,망미중앙시장,전통시장,부산광역시 수영구 망미동 431-6,부산광역시 수영구 망미배산로10번길 40외,부산,수영구,Y,,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y
a51140003,광안어패류시장,전통시장,부산광역시 수영구 민락동181-72,부산광역시 수영구 민락수변로7번길 19,부산,수영구,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
a51140011,민락어패류시장,전통시장,부산광역시 수영구 민락동 181-8,부산광역시 수영구 광안해변로 278,부산,수영구,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N
a51140012,민락회타운시장,전통시장,부산광역시 수영구 민락동 184-84,부산광역시 수영구 민락수변로 1,부산,수영구,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N
a51140020,민락골목시장,전통시장,부산광역시 수영구 민락동 190-1,부산광역시 수영구 광안해변로 277번길 28-8외,부산,수영구,Y,,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y
a51140023,민락씨랜드시장,전통시장,부산광역시 수영구 민락동 181-228,부산광역시 수영구 광안해변로 299,부산,수영구,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N
a51140018,수영팔도시장,전통시장,부산광역시 수영구 수영동 305-3,부산광역시 수영구 수영로725번길 36외,부산,수영구,Y,,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y
a51150001,감전제일상가시장,전통시장,부산광역시 사상구 감전동 121-12,부산광역시 사상구 새벽로168번길 21-11,부산,사상구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51150008,부산산업용재유통상가,전통시장,부산광역시 사상구 감전동 152-2,부산광역시 사상구 새벽로 131,부산,사상구,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y
a51150010,부산새벽시장,전통시장,부산광역시 사상구 감전동 143-16,부산광역시 사상구 새벽로 141,부산,사상구,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N
a51150024,감전시장,전통시장,부산광역시 사상구 감전동121-12,부산광역시 사상구 새벽로168번길 21-6,부산,사상구,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N
